"key","message","comment","context"
"A card already exists.","Une carte de paiement existe déjà",,
"Accept","Accepter",,
"Accepted","Accepté",,
"Access denied or incorrect site / rank / username.","Accès refusé ou site / rang / nom d'utilisateur incorrect.",,
"Activate DMS","Activer la gestion documentaire",,
"Activate Paypal","Activer Paypal",,
"Activate Stripe","Activer Stripe",,
"Activate purchases","Activer les achats",,
"Activate task editor","Activer l'éditeur de tâche",,
"Active Paybox","Activer Paybox",,
"Add default address","Ajouter l'adresse par défaut",,
"Added on","Ajouté le",,
"Address is missing","L'adresse est manquant",,
"Address with given id (%s) not found for partner (%s)","Adresse avec l'identifiant donné (%s) non trouvée pour le tiers (%s)",,
"Address with id (%s) not found","Adresse avec id (%s) non trouvée",,
"All closed tickets","Tous les tickets fermés",,
"All messages","Tous les messages",,
"All open tickets","Tous les tickets ouverts",,
"All quotations","Tous les devis",,
"Allow panel side for customers DMS","Autoriser le panel latéral pour les clients dans la gestion documentaire",,
"Amount due","Montant dû",,
"Announcement date","Date d'annonce",,
"Announces","Annonces",,
"App",,,
"App Customer Portal","App Portail Client",,
"App customer portal","App portail client",,
"Are you sure you want to confirm ?","Êtes-vous sûr de vouloir confirmer ?",,
"Assign to the customer","Assigner au client",,
"Assign to the provider","Assigner au fournisseur",,
"Brand","Type de carte",,
"CVC","CVC",,
"Can confirm online","Peut confimer en ligne",,
"Cancel","Annuler",,
"Canceled","Annulé",,
"Canceled discount on","Remise annulée sur",,
"Canceled payment on","Paiement annulé sur",,
"Cancelled from Portal","Annulé depuis le portail",,
"Card","Carte",,
"Card not valid.","Carte non valide",,
"Card number","Numéro de carte",,
"Card with given id (%s) not found for partner (%s)","Carte avec l'identifiant donné (%s) non trouvée pour le tiers (%s)",,
"Cards","Cartes",,
"Client categories","Catégories de clients",,
"Client portal dashboard","Tableau de bord du portail client",,
"Close","Fermer",,
"Comments","Commentaires",,
"Company","Société",,
"Confirm","Confirmer",,
"Confirmation code","Confirmation code",,
"Confirmation code is sent to your mail","Le code de confirmation est envoyé à votre email",,
"Connection to the authorization center failed.","La connexion au centre d'autorisation a échoué.",,
"Contents",,,
"Country code of the IP address of the buyer's browser unauthorized.",,,
"Customer","Client",,
"Customer does not have any address or it is not properly configured on stripe","Le client n'a pas d'adresse ou celle-ci n'est pas correctement configurée sur stripe.",,
"Customer name is missing on stripe","Le nom du client est manquant sur Stripe",,
"Customer notification template","Modèle de notification client",,
"Dashboard","Dashboard",,
"Date","Date",,
"Decline","Décliner",,
"Default","Défaut",,
"Default value for 'Allow panel side for customers DMS'",,,
"Description","Description",,
"Discounted on","Remisé sur",,
"Discussion group","Groupe de discussion",,
"Discussion groups","Groupes de discussion",,
"Discussion post","Poste de discussion",,
"Discussion post list","Messages de discussion",,
"Discussion posts","Messages de discussion",,
"Discussions","Discussions",,
"Discussions & Resources","Discussions et ressources",,
"Display product catalog","Afficher le catalogue produit",,
"Display the product on the eShop","Afficher le produit sur l'eshop",,
"Email","Email",,
"Email address empty","L'adresse email est vide",,
"Enable notifications for the customer","Activer les notifications pour le client",,
"Enable notifications for the seller","Activer les notifications pour le vendeur",,
