"key","message","comment","context"
"Completed",,,
"Confirm",,,
"Content",,,
"Create daily timesheets",,,
"Create lines from activities","Créer des lignes de temps avec les activités",,
"Create lines from events","Créer des lignes de temps avec les évènements",,
"Daily timesheet",,,
"Daily timesheet date",,,
"Daily timesheet employees",,,
"Daily timesheet lines",,,
"Daily timesheets",,,
"Daily total","Total pour la journée",,
"Date",,,
"Draft",,,
"Email sent to %s",,,
"Employee",,,
"Events",,,
"Favourite projects","Projets favoris",,
"Favourite tasks","Tâches favorites",,
"HR Batch",,,
"Preferences",,,
"Projects",,,
"Reset",,,
"Status",,,
"Task activity",,,
"Tasks activities","Activités",,
"Time Sheet",,,
"Timesheet Lines",,,
"User",,,
"iEvent",,,
