"key","message","comment","context"
"Access code",,,
"Active webhook",,,
"Anchor",,,
"Anchor X offset",,,
"Anchor Y offset",,,
"Anchor units",,,
"App",,,
"App docu sign",,,
"Approve",,,
"Base uri",,,
"Bold",,,
"Certificate",,,
"Certificate of completion",,,
"Check envelope status",,,
"Check recipient status",,,
"Checkbox",,,
"Company",,,
"Company default Path",,,
"Completed",,,
"Completed date time",,,
"Conditional parent label",,,
"Conditional parent value",,,
"Configuration",,,
"Create envelope",,,
"Decline",,,
"Declined",,,
"Declined date time",,,
"Default",,,
"Delivered",,,
"Do not include https://",,,
"DocuSign",,,
"DocuSign Service return any envelope id",,,
"DocuSign account",,,
"DocuSign accounts",,,
"DocuSign envelope",,,
"DocuSign envelope setting",,,
"DocuSignEnvelope.Completed",,,
"DocuSignEnvelope.Declined",,,
"DocuSignEnvelope.Delivered",,,
"DocuSignEnvelope.Draft",,,
"DocuSignEnvelope.Sent",,,
"DocuSignEnvelope.Voided",,,
"Document","Documento",,
"Document id",,,
"Document setting",,,
"Document settings",,,
"Documents",,,
"Email",,,
"Email subject",,,
"Envelope",,,
"Envelope id",,,
"Envelope setting",,,
"Envelope settings",,,
"Envelope status",,,
"Envelopes",,,
"Field",,,
"Field setting",,,
"Field settings",,,
"Fields",,,
"File default path",,,
"File extension",,,
"Font","Fuente",,
"Font color",,,
"Font size","Tamaño de fuente",,
"For example, use 'pixels'",,,
"Full name",,,
"Generate consent url",,,
"In person signer",,,
"Integration Key",,,
"List",,,
"List item",,,
"Model",,,
"Name",,,
"OAuth base path",,,
"Ordered documents",,,
"Ordered signers",,,
"Page number",,,
"Param item unknown type",,,
"Parent",,,
"RSA key",,,
"Radio button",,,
"Radio group",,,
"Recipient id",,,
"Recipient status",,,
"Related to",,,
"Required",,,
"Select envelope setting",,,
"Send",,,
"Seq.",,,
"Sign Here",,,
"Signed file",,,
"Signer",,,
"Signer default Path",,,
"Signer setting",,,
"Signer settings",,,
"Signers",,,
"Status",,,
"Synchronise status",,,
"Tab label",,,
"The DocuSign account is empty",,,
"The email address is empty for the partner",,,
"The envelope setting is empty",,,
"The in person signer is not found",,,
"The signer is not found",,,
"There is no user set in one of the docusign signer",,,
"Type",,,
"Unsigned file",,,
"User id",,,
"Validate",,,
"Value",,,
"Voided",,,
"Webhook setting",,,
"X position",,,
"Y position",,,
