"key","message","comment","context"
"Access token",,,
"Action",,,
"App Gsuite",,,
"Authorization expire for account: %s. Please authorize again",,,
"Authorized ?","Autorisé",,
"Batch Contact synchronization",,,
"Batch Drive synchronization",,,
"Batch Email synchronization",,,
"Batch Event synchronization",,,
"Batch Task synchronization",,,
"Batchs",,,
"Client ID",,,
"Client secret",,,
"Code",,,
"Contact ?","Contacts",,
"Contact Sync To Google Date",,,
"Contact Sync To Google Log",,,
"Contact batch",,,
"Contact configuration","Contacts",,
"Contact sync allowed?","Autoriser la synchronisation des contacts",,
"Create Google account",,,
"Created by",,,
"Created on",,,
"Description",,,
"Dms",,,
"Doc Sync To Google Date",,,
"Doc Sync To Google Log",,,
"Drive batch",,,
"Drive configuration","Drive",,
"Drive google accounts",,,
"Drive sync allowed?","Autoriser la synchronisation avec le Drive",,
"Email",,,
"Email batch",,,
"Email configuration","Emails",,
"Email google account list",,,
"Email sync allowed?","Autoriser la synchronisation des emails",,
"Emails",,,
"Error in authentication. Please authenticate again.",,,
"Error in google contact update:",,,
"Error in image sync of contact",,,
"Error in updating google drive:",,,
"Error in updating google event:",,,
"Event",,,
"Event Sync To Google Date",,,
"Event Sync To Google Log",,,
"Event batch",,,
"Event google accounts",,,
"Event sync allowed?","Autoriser la synchronisation des évènements",,
"Event sync token",,,
"Event/Calendar configuration","Evènements/calendriers",,
"Event/Task configuration","Tâches",,
"Events",,,
"G suite batch",,,
"G-Suite Batch",,,
"G-Suite Configuration",,,
"G-Suite batches",,,
"G-Suite sync allowed ?",,,
"Generate authorization url","Générer l'URL d'autorisation",,
"Gmail sync failed.Please check taceback for detailed log.",,,
"Google account",Compte Google,,
"Google contact",,,
"Google drive",,,
"Google email message",,,
"Google event",,,
"Google task",,,
"Gsuite",,,
"Information",,,
"Lead ?","Pistes",,
"Mails from google synchronized successfully.",,,
"Message",,,
"Name",,,
"No google configuration found",,,
"Partner",,,
"Partner ?","Tiers",,
"Partner google accounts",,,
"Preferences",,,
"Refresh token",,,
"Related",,,
"Related to",,,
"Related to select",,,
"Task batch",,,
"Task sync allowed?","Autoriser la synchronisation des tâches",,
"Unknown action %s for the %s treatment",,,
"User",,,
