"key","message","comment","context"
"%s : EmailAddress not exist","L'adresse e-mail n'existe pas",,
"App office365",,,
"Application (client) ID","ID client",,
"Application (client) secret","ID client secret",,
"Authenticate","Authentification",,
"Authentication url",,,
"Birth date",,,
"Business address",,,
"Contact",,,
"Job title",,,
"Lead",,,
"Nick name",,,
"Office365",,,
"Office365 calendar events","Événements de calendrier Office365",,
"Office365 calendars","Calendriers Office365",,
"Office365 contacts","Contacts Office365",,
"Office365 id",,,
"Office365 mail",,,
"Office365 mails","Courriers Office365",,
"Optional",,,
"Other address",,,
"Partner",,,
"Received date",,,
"Redirect URI","URI de redirection",,
"Refresh token",,,
"Required",,,
"Sync calendar","Synchroniser les calendriers",,
"Sync contact","Synchroniser les contacts",,
"Sync mail","Synchroniser les emails",,
"Token doesn't exist",,,
