"key","message","comment","context"
"Assign to me","Mir zuweisen",,
"Assign to partner",,,
"Assigned partner",,,
"Check duplicate","Duplikate prüfen",,
"Comments","Kommentare",,
"Contact","Kontakt",,
"Contact details","Kontaktdaten",,
"Current leads","Aktuelle Interessenten",,
"Dashboard","Dashboard",,
"Description","Beschreibung",,
"Discussion",,,
"Import leads","Leads importieren",,
"Lead","Lead",,
"Leads","Leads",,
"Name","Name",,
"New leads","Neue Interessenten",,
"Primary address","Primäre Adresse",,
"Print","Drucken",,
"Rejection of calls","Ablehnung von Anrufen",,
"Rejection of e-mails","Ablehnung von E-Mails",,
"Reports","Berichte",,
"Schedule Event","Ereignis planen",,
"Send Email","E-Mail senden",,
"Take charge","Übernehmen Sie die Verantwortung",,
"Tools","Werkzeuge",,
"http://www.url.com","http://www.url.com",,
"portal.isCompanyPartner","Partner",,
"whatever@example.com","whatever@example.com",,
