"key","message","comment","context"
"Assign to me",,,
"Assign to partner","Attribuer au partenaire",,
"Assigned partner","Partenaire assigné",,
"Check duplicate",,,
"Comments","commentaires",,
"Contact",,,
"Contact details",,,
"Current leads","Pistes en cours",,
"Dashboard","Dashboard",,
"Description",,,
"Discussion","Discussion",,
"Import leads",,,
"Lead","Piste",,
"Leads","Pistes",,
"Name","Nom",,
"New leads","Nouvelles pistes",,
"Primary address",,,
"Print",,,
"Rejection of calls",,,
"Rejection of e-mails",,,
"Reports",,,
"Schedule Event",,,
"Send Email",,,
"Take charge",,,
"Tools",,,
"http://www.url.com",,,
"portal.isCompanyPartner","Partenaire",,
"whatever@example.com",,,
