"key","message","comment","context"
"'No update' is selected to true then only the data entries which are newly created after the last Export will be Exported",,,
"Admin unsubscription",,,
"Aggregate Statistics deleted successfully",,,
"Api Key",,,
"App Marketing",,,
"App sendinblue",,,
"Authenticate",,,
"Authenticate Successfully",,,
"Authentication Failed",,,
"Blocked",,,
"Bounces",,,
"Campaign",,,
"Campaign Delivered","Delivered",,
"Campaign Recipients cannot be blank",,,
"Campaign Sender cannot be blank",,,
"Campaign Statistics",,,
"Campaign Template content cannot be blank",,,
"Campaign type",,,
"Clickers",,,
"Clicks",,,
"Complaints",,,
"Configurations",,,
"Contact fields",,,
"Count",,,
"Dashboard",,,
"Date",,,
"DateTime",,,
"Deferred",,,
"Delete SendinBlue Camapign Statistics",,,
"Delete SendinBlue Contact Statistics",,,
"Email",,,
"Email Address",,,
"Event",,,
"Event Report",,,
"Event Tag Report",,,
"Event tag",,,
"Export",,,
"Export campaign",,,
"Export contact",,,
"Export datetime",,,
"Export field",,,
"Export fields",,,
"Export latest",,,
"Export log",,,
"Export template",,,
"From Date",,,
"From DateTime",,,
"Hard bounce",,,
"Hard bounces",,,
"IP",,,
"If this option is activated, then data related to Partner and Lead will be exported during export operation.",,,
"If this option is activated, then data related to Partner and Lead will be imported during import operation.",,,
"Import",,,
"Import campaign",,,
"Import contact",,,
"Import datetime",,,
"Import latest data",,,
"Import log",,,
"Import template",,,
"Invalid",,,
"Lead",,,
"Lead Campaign",,,
"Lead Reminder Campaign",,,
"Lead fields",,,
"Manage emailing reporting using the SendinBlue API",,,
"Message sent",,,
"Name",,,
"No API key specify in configuration",,,
"No Aggregate Statistics exist",,,
"No Export configuration found",,,
"No Import configuration found",,,
"No update",,,
"Opened",,,
"Opens",,,
"Partner",,,
"Partner Campaign",,,
"Partner Reminder Campaign",,,
"Path to load the server",,,
"Reason",,,
"Report",,,
"Reporting",,,
"Requests",,,
"Select Fields of Partner or Lead to export",,,
"Sendin blue campaign stat list",,,
"Sendin blue contact stat list",,,
"SendinBlue",,,
"SendinBlue Campaign Reporting",,,
"SendinBlue Campaigns",,,
"SendinBlue Export",,,
"SendinBlue Exports",,,
"SendinBlue ID",,,
"SendinBlue Import",,,
"SendinBlue Imports",,,
"SendinBlue Reporting",,,
"SendinBlue campaign statistic",,,
"SendinBlue campaign statistics",,,
"SendinBlue contact statistic",,,
"SendinBlue contact statistics",,,
"SendinBlue email statistics",,,
"SendinBlue id",,,
"SendinBlue message id",,,
"SendinBlue statistics by tag",,,
"SendinBlue tag",,,
"Sent",,,
"Soft bounce",,,
"Soft bounces",,,
"Spam",,,
"Spam reports",,,
"SpamReports","Spam reports",,
"Specify Version3 API key",,,
"Tag",,,
"Template Sender cannot be blank",,,
"Templates",,,
"To Date",,,
"To DateTime",,,
"Total Campaign Exported",,,
"Total Campaign Reports Imported",,,
"Total Campaign Statistics Imported",,,
"Total Campaigns Imported",,,
"Total Contact Statistics Imported",,,
"Total Contact(%s) Exported",,,
"Total Contacts Imported",,,
"Total Events Imported",,,
"Total Leads Imported",,,
"Total Template Exported",,,
"Total Templates Imported",,,
"URI",,,
"Unique clicks",,,
"Unique opens",,,
"Unique views",,,
"UniqueClicks","Unique clicks",,
"UniqueOpens","Unique opens",,
"Unsubscribed",,,
"Unsubscriptions",,,
"Url",,,
"User",,,
"User unsubscription",,,
"Viewed",,,
"When 'Export latest' is selected to true then only the data which is created after last Export will be Exported",,,
"When 'Import latest' is selected to true then only the data which is uploaded after last import will be Imported.",,,
"When 'No update' option is activated, then only the data entries which are newly created after the last import will be imported",,,
"isLead",,,
