"key","message","comment","context"
"Admin unsubscription",,,
"Aggregate Statistics deleted successfully",,,
"Api Key","Clé API",,
"App Marketing",,,
"App sendinblue",,,
"Authenticate","S'authentifier",,
"Authenticate Successfully","Authentifier avec succès",,
"Authentication Failed","Authentification échouée",,
"Blocked",,,
"Bounces",,,
"Campaign","Campagne",,
"Campaign Recipients cannot be blank","Les destinataires de campagne ne peuvent pas être vides",,
"Campaign Sender cannot be blank","L'émetteur de campagne ne peut pas être vide",,
"Campaign Statistics","Statistiques de campagne",,
"Campaign Template content cannot be blank","Le contenu du modèle de campagne ne peut pas être vide",,
"Campaign type","Type de campagne",,
"Clickers",,,
"Clicks",,,
"Complaints",,,
"Configration",,,
"Contact fields","Champs des contacts",,
"Count",,,
"Dashboard","Tableau de bord",,
"Date",,,
"DateTime",,,
"Deferred",,,
"Delete SendinBlue Camapign Statistics",,,
"Delete SendinBlue Contact Statistics",,,
"Delivered",,,
"Email","Email",,
"Email Address","Adresse email",,
"Event","Evénement",,
"Event Report",,,
"Event Tag Report",,,
"Export",,,
"Export campaign","Campagne d'exportation",,
"Export contact","Contact export",,
"Export datetime",,,
"Export field",,,
"Export fields","Exporter les champs",,
"Export latest",,,
"Export log","Log d'export",,
"Export template","Modèle d'exportation",,
"From Date",,,
"From DateTime",,,
"Hard bounce",,,
"Hard bounces",,,
"IP",,,
"Import",,,
"Import campaign",,,
"Import contact","Contact d'importation",,
"Import datetime","Date de l'import",,
"Import latest data","Importer les dernières données",,
"Import log",,,
"Import template","Modèle d'importation",,
"Invalid",,,
"Lead","Piste",,
"Lead Campaign","Modèle Pistes",,
"Lead Reminder Campaign","Modèle de relance piste",,
"Lead fields","Champs des pistes",,
"Manage emailing reporting using the SendinBlue API","Gérer le reporting d'emailing via l'API SendinBlue",,
"Message sent",,,
"Name",,,
"No API key specify in configuration","Aucune clé API spécifiée dans la configuration",,
"No Aggregate Statistics exist",,,
"No Export configuration found","Aucune configuration d'exportation trouvée",,
"No Import configuration found","Aucune configuration d'importation trouvée",,
"No update","Pas de mise à jour",,
"Opened",,,
"Opens",,,
"Partner","Tiers",,
"Partner Campaign","Modèle Contact",,
"Partner Reminder Campaign","Modèle de relance client",,
"Path to load the server","Chemin d'accès pour charger le serveur",,
"Reason",,,
"Report","Rapport",,
"Reporting","Reporting",,
"Requests",,,
"Select Fields of Partner or Lead to export",,,
"Sendin blue campaign stat list",,,
"Sendin blue contact stat list",,,
"SendinBlue",,,
"SendinBlue Campaign Reporting",,,
"SendinBlue Campaigns",,,
"SendinBlue Export","Exporter",,
"SendinBlue Exports","Exporter",,
"SendinBlue ID",,,
"SendinBlue Import","Importer",,
"SendinBlue Imports","Importer",,
"SendinBlue Reporting","Rapports SendinBlue",,
"SendinBlue campaign statistic",,,
"SendinBlue campaign statistics",,,
"SendinBlue contact statistic",,,
"SendinBlue contact statistics",,,
"SendinBlue email statistics",,,
"SendinBlue id",,,
"SendinBlue message id",,,
"SendinBlue statistics by tag",,,
"SendinBlue tag",,,
"Sent",,,
"Soft bounce",,,
"Soft bounces",,,
"Spam",,,
"Spam reports",,,
"Specify Version3 API key","Spécifier la clé de l'API Version3",,
"Tag",,,
"Template Sender cannot be blank",,,
"Templates","Modèles",,
"To Date",,,
"To DateTime",,,
"Total Campaign Exported",,,
"Total Campaign Reports Imported","Nombre de rapport de campagnes importés",,
"Total Campaign Statistics Imported","Nombre de statistiques de campagnes importés",,
"Total Campaigns Imported",,,
"Total Contact Statistics Imported","Nombre de statistiques de contacts importés",,
"Total Contact(%s) Exported","Nombres de contacts (%s) exportés",,
"Total Contacts Imported",,,
"Total Contacts Leads",,,
"Total Events Imported","Nombre d'évènements importés",,
"Total Template Exported",,,
"Total Templates Imported",,,
"URI",,,
"Unique clicks",,,
"Unique opens",,,
"Unique views",,,
"Unsubscribed",,,
"Unsubscriptions",,,
"Url",,,
"User",,,
"User unsubscription",,,
"Viewed",,,
"When 'Import latest' is selected to true then only the data which is uploaded after last import will be Imported.","Lorsque l'option ‘Importer les dernières données’ est activée, seules les données téléchargées après la dernière importation seront importées.",,
"When 'No update' option is activated, then only the data entries which are newly created after the last import will be imported","Lorsque l'option ""Pas de mise à jour"" est activée, seules les données créées après la dernière importation seront importées",,
"isLead",,,
